02/10/2017 16:18:41 | SyncInvokeInsertLiaisonCompteur | OracleCommand fin:La référence d'objet n'est pas définie à une instance d'un objet.

02/10/2017 16:34:42 | SyncInvokeInsertLiaisonCompteur | Échec du cast en type valeur « Int32 », car la valeur matérialisée est Null. Le paramètre générique du type de résultat ou la requête doit utiliser un type Nullable.

02/10/2017 17:17:33 | SyncInvokeInsertLiaisonCompteur | Échec du cast en type valeur « Int32 », car la valeur matérialisée est Null. Le paramètre générique du type de résultat ou la requête doit utiliser un type Nullable.

02/10/2017 17:17:53 | SyncInvokeInsertLiaisonCompteur | Échec du cast en type valeur « Int32 », car la valeur matérialisée est Null. Le paramètre générique du type de résultat ou la requête doit utiliser un type Nullable.

02/10/2017 17:23:13 | SyncInvokeInsertLiaisonCompteur | Échec du cast en type valeur « Int32 », car la valeur matérialisée est Null. Le paramètre générique du type de résultat ou la requête doit utiliser un type Nullable.

02/10/2017 17:43:19 | SyncInvokeInsertLiaisonCompteur | Échec du cast en type valeur « Int32 », car la valeur matérialisée est Null. Le paramètre générique du type de résultat ou la requête doit utiliser un type Nullable.

02/10/2017 19:24:48 | SyncInvokeValiderDemande | Debut Validation

02/10/2017 19:24:50 | SyncInvokeValiderDemande | Validation failed for one or more entities. See 'EntityValidationErrors' property for more details.

02/10/2017 19:28:17 | SyncInvokeValiderDemande | Debut Validation

02/10/2017 19:28:17 | SyncInvokeValiderDemande | Validation failed for one or more entities. See 'EntityValidationErrors' property for more details.

02/10/2017 20:41:18 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

02/10/2017 20:42:25 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

02/10/2017 20:46:10 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

02/10/2017 21:03:12 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

