03/10/2017 13:06:47 | SyncInvokeRetourneEvenementClient | PK_ID N'EXISTE PAS

03/10/2017 13:06:48 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

03/10/2017 13:34:19 | SyncInvokeRetourneEvenementClient | FK_IDABON EXISTE

03/10/2017 17:53:50 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

03/10/2017 17:58:36 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

03/10/2017 18:13:21 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

03/10/2017 18:21:04 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

03/10/2017 18:26:55 | SyncInvokeRetourneEvenementClient | ici

03/10/2017 18:26:56 | SyncInvokeRetourneEvenementClient | Un objet qui autorise la valeur Null doit posséder une valeur.

03/10/2017 18:35:21 | SyncInvokeRetourneEvenementClient | Le format de la chaîne d'entrée est incorrect.

03/10/2017 18:39:52 | SyncInvokeRetourneEvenementClient | Le format de la chaîne d'entrée est incorrect.

03/10/2017 18:46:01 | SyncInvokeRetourneEvenementClient | Le format de la chaîne d'entrée est incorrect.

03/10/2017 18:56:57 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 18:59:43 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 19:06:28 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 19:07:03 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 19:12:58 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 19:59:52 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 20:01:16 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 20:36:22 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 20:43:10 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 20:44:04 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 20:48:24 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 20:48:26 | SyncInvokeValiderDemande | Validation failed for one or more entities. See 'EntityValidationErrors' property for more details.

03/10/2017 21:21:45 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 21:29:25 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 21:30:42 | SyncInvokeValiderDemande | Debut Validation

03/10/2017 23:51:39 | SyncInvokeRetourneEvenementClient | SPX_SELECT_EVENEMENTCLIENT:La procédure ou fonction 'SPX_SELECT_EVENEMENTCLIENT' attend le paramètre '@IdCentre', qui n'a pas été fourni.

03/10/2017 23:52:16 | SyncInvokeRetourneEvenementClient | SPX_SELECT_EVENEMENTCLIENT:La procédure ou fonction 'SPX_SELECT_EVENEMENTCLIENT' attend le paramètre '@IdCentre', qui n'a pas été fourni.

03/10/2017 23:53:23 | SyncInvokeRetourneEvenementClient | SPX_SELECT_EVENEMENTCLIENT:La procédure ou fonction 'SPX_SELECT_EVENEMENTCLIENT' attend le paramètre '@IdCentre', qui n'a pas été fourni.

