06/06/2017 18:07:44 | LogException | Nom de colonne non valide : 'FK_IDCLIENT'.

06/06/2017 18:07:44 | LogException | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

06/06/2017 18:07:44 | ValiderMiseAjourDemandeTransition | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

06/06/2017 18:10:51 | LogException | Nom de colonne non valide : 'FK_IDCLIENT'.

06/06/2017 18:10:51 | LogException | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

06/06/2017 18:10:51 | ValiderMiseAjourDemandeTransition | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

06/06/2017 18:14:08 | LogException | Nom de colonne non valide : 'FK_IDCLIENT'.

06/06/2017 18:14:08 | LogException | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

06/06/2017 18:14:08 | ValiderMiseAjourDemandeTransition | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

