09/09/2019 12:11:55 | PrintingFromService | 11111121154916

09/09/2019 12:11:55 | PrintingFromService | 11111121155227

09/09/2019 12:11:55 | PrintingFromService | 11111121155379

09/09/2019 12:11:55 | PrintingFromService | 11111121155559

09/09/2019 12:11:55 | PrintingFromService | 11111121155759

09/09/2019 12:11:56 | PrintingFromService | 111111211563

09/09/2019 12:11:56 | PrintingFromService | 11111121156180

09/09/2019 12:11:56 | PrintingFromService | 11111121156329

09/09/2019 12:11:56 | Callback | localhost1818

09/09/2019 12:11:56 | Callback | localhost1818

09/09/2019 12:11:56 | Callback | localhost1818

09/09/2019 12:11:56 | Callback | localhost1818

09/09/2019 12:11:57 | RenderReport | loadData

09/09/2019 12:11:57 | RenderReport | loadData

09/09/2019 12:11:57 | RenderReport | loadData

09/09/2019 12:11:57 | RenderReport | loadData

09/09/2019 12:11:57 | RenderReport | loadData

09/09/2019 12:11:57 | RenderReport | loadData

09/09/2019 12:11:57 | RenderReport | loadData




09/09/2019 12:11:57 | RenderReport | 11111121155559

09/09/2019 12:11:57 | RenderReport | 11111121155759

09/09/2019 12:11:57 | RenderReport | 11111121154916

09/09/2019 12:11:57 | RenderReport | 11111121155227

09/09/2019 12:11:57 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:11:57 | SyncInvokeGetCsPrintFromWebPart | 11111121154916

09/09/2019 12:11:57 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:11:57 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:11:57 | SyncInvokeGetCsPrintFromWebPart | 11111121155759

09/09/2019 12:11:57 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | 11111121155379

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | 111111211563

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | 11111121155227

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | 11111121155559

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:11:58 | RenderReport | loadData

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | 11111121156180

09/09/2019 12:11:58 | RenderReport | 11111121156329

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | 11111121156329

09/09/2019 12:11:58 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:11:58 | LoadData | 11111121155759

09/09/2019 12:11:58 | LoadData | 11111121155379

09/09/2019 12:11:58 | LoadData | données trouve

09/09/2019 12:11:58 | LoadData | 11111121154916

09/09/2019 12:11:58 | LoadData | données trouve

09/09/2019 12:11:58 | LoadData | 111111211563

09/09/2019 12:11:58 | LoadData | données trouve

09/09/2019 12:11:58 | LoadData | données trouve

09/09/2019 12:11:58 | LoadData | Parametre trouvé

09/09/2019 12:11:58 | LoadData | Parametre trouvé

09/09/2019 12:11:58 | data | data trouve data count: 1600

09/09/2019 12:11:58 | LoadData | 11111121155227

09/09/2019 12:11:58 | data | data trouve data count: 1600

09/09/2019 12:11:58 | LoadData | 11111121155559

09/09/2019 12:11:58 | LoadData | Parametre trouvé

09/09/2019 12:11:58 | LoadData | données trouve

09/09/2019 12:11:58 | LoadData | données trouve

09/09/2019 12:11:58 | data | data trouve data count: 1600

09/09/2019 12:11:58 | LoadData | Parametre trouvé

09/09/2019 12:11:58 | LoadData | Parametre trouvé

09/09/2019 12:11:58 | data | data trouve data count: 1600

09/09/2019 12:11:58 | data | data trouve data count: 1600

09/09/2019 12:11:58 | LoadData | Parametre trouvé

09/09/2019 12:11:58 | data | data trouve data count: 1600

09/09/2019 12:11:58 | LoadData | 11111121156329

09/09/2019 12:11:58 | LoadData | données trouve

09/09/2019 12:11:58 | LoadData | Parametre trouvé

09/09/2019 12:11:58 | LoadData | 11111121156180

09/09/2019 12:11:58 | data | data trouve data count: 1392

09/09/2019 12:11:59 | LoadData | données trouve

09/09/2019 12:11:59 | LoadData | Parametre trouvé

09/09/2019 12:11:59 | data | data trouve data count: 1600

09/09/2019 12:12:01 | Page_Load | RenderReport retour ok

09/09/2019 12:12:01 | Page_Load | RenderReport retour ok

09/09/2019 12:12:01 | Page_Load | RenderReport retour ok

09/09/2019 12:12:01 | Page_Load | RenderReport retour ok

09/09/2019 12:12:01 | Page_Load | RenderReport retour ok

09/09/2019 12:12:01 | Page_Load | RenderReport retour ok

ssion|FactureSimpleO_Lot19070350_8|pdf

09/09/2019 12:12:01 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_6|pdf

09/09/2019 12:12:01 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_7|pdf

09/09/2019 12:12:01 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_1|pdf

09/09/2019 12:12:01 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_5|pdf

09/09/2019 12:12:01 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_2|pdf

09/09/2019 12:12:55 | Page_Load | ICI3

09/09/2019 12:13:00 | Page_Load | ICI3

09/09/2019 12:13:00 | Page_Load | ICI3

09/09/2019 12:13:00 | Page_Load | ICI3

09/09/2019 12:13:01 | Page_Load | ICI3

09/09/2019 12:13:01 | Page_Load | ICI3

09/09/2019 12:13:01 | Page_Load | ICI3

09/09/2019 12:13:01 | Page_Load | ICI3

09/09/2019 12:20:10 | PrintingFromService | 1111112201032

09/09/2019 12:20:10 | Callback | localhost1818

09/09/2019 12:20:10 | RenderReport | loadData

09/09/2019 12:20:10 | RenderReport | 1111112201032

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | 1111112201032

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:20:10 | PrintingFromService | 11111122010156

09/09/2019 12:20:10 | Callback | localhost1818

09/09/2019 12:20:10 | RenderReport | loadData

09/09/2019 12:20:10 | RenderReport | 11111122010156

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | 11111122010156

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:20:10 | PrintingFromService | 11111122010421

09/09/2019 12:20:10 | Callback | localhost1818

09/09/2019 12:20:10 | RenderReport | loadData

09/09/2019 12:20:10 | LoadData | 1111112201032

09/09/2019 12:20:10 | LoadData | données trouve

09/09/2019 12:20:10 | LoadData | Parametre trouvé

09/09/2019 12:20:10 | data | data trouve data count: 1600

09/09/2019 12:20:10 | PrintingFromService | 11111122010605

09/09/2019 12:20:10 | RenderReport | 11111122010421

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | 11111122010421

09/09/2019 12:20:10 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:20:10 | Callback | localhost1818

09/09/2019 12:20:11 | RenderReport | loadData

09/09/2019 12:20:11 | LoadData | 11111122010156

09/09/2019 12:20:11 | RenderReport | 11111122010605

09/09/2019 12:20:11 | LoadData | données trouve

010923

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | 11111122010605

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:20:11 | Callback | localhost1818

09/09/2019 12:20:11 | LoadData | Parametre trouvé

09/09/2019 12:20:11 | RenderReport | loadData

09/09/2019 12:20:11 | PrintingFromService | 11111122011137

09/09/2019 12:20:11 | RenderReport | 11111122010923

09/09/2019 12:20:11 | Callback | localhost1818

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | 11111122010923

09/09/2019 12:20:11 | RenderReport | loadData

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:20:11 | RenderReport | 11111122011137

09/09/2019 12:20:11 | LoadData | 11111122010421

09/09/2019 12:20:11 | LoadData | données trouve

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:20:11 | Page_Load | RenderReport retour ok

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | 11111122011137

09/09/2019 12:20:11 | LoadData | Parametre trouvé

09/09/2019 12:20:11 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:20:11 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_1|pdf

09/09/2019 12:20:11 | data | data trouve data count: 1600

09/09/2019 12:20:11 | data | data trouve data count: 1600

09/09/2019 12:20:11 | PrintingFromService | 11111122011358

09/09/2019 12:20:11 | PrintingFromService | 11111122011720

09/09/2019 12:20:11 | Callback | localhost1818

09/09/2019 12:20:11 | Callback | localhost1818

09/09/2019 12:20:12 | RenderReport | loadData

09/09/2019 12:20:12 | RenderReport | loadData

09/09/2019 12:20:12 | LoadData | 11111122010605

09/09/2019 12:20:12 | RenderReport | 11111122011720

09/09/2019 12:20:12 | RenderReport | 11111122011358

09/09/2019 12:20:12 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:20:12 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:20:12 | SyncInvokeGetCsPrintFromWebPart | 11111122011720

09/09/2019 12:20:12 | SyncInvokeGetCsPrintFromWebPart | 11111122011358

09/09/2019 12:20:12 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:20:12 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:20:12 | data | data trouve data count: 1600

09/09/2019 12:20:12 | LoadData | 11111122011137

09/09/2019 12:20:12 | LoadData | 11111122010923

09/09/2019 12:20:12 | LoadData | données trouve

09/09/2019 12:20:12 | LoadData | données trouve

09/09/2019 12:20:12 | LoadData | Parametre trouvé

09/09/2019 12:20:12 | LoadData | Parametre trouvé

09/09/2019 12:20:12 | data | data trouve data count: 1600

09/09/2019 12:20:12 | data | data trouve data count: 1600

09/09/2019 12:20:12 | LoadData | 11111122011720

09/09/2019 12:20:12 | LoadData | données trouve

09/09/2019 12:20:12 | LoadData | Parametre trouvé

09/09/2019 12:20:12 | data | data trouve data count: 1392

09/09/2019 12:20:12 | LoadData | 11111122011358

09/09/2019 12:20:12 | LoadData | données trouve

09/09/2019 12:20:12 | LoadData | Parametre trouvé

09/09/2019 12:20:12 | data | data trouve data count: 1600

09/09/2019 12:20:13 | Page_Load | RenderReport retour ok

09/09/2019 12:20:13 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_3|pdf

09/09/2019 12:20:13 | Page_Load | RenderReport retour ok

09/09/2019 12:20:13 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_2|pdf

09/09/2019 12:20:13 | Page_Load | RenderReport retour ok

09/09/2019 12:20:13 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_4|pdf

09/09/2019 12:20:13 | Page_Load | RenderReport retour ok

09/09/2019 12:20:14 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_8|pdf

09/09/2019 12:20:14 | Page_Load | RenderReport retour ok

09/09/2019 12:20:14 | Page_Load | RenderReport retour ok

09/09/2019 12:20:14 | Page_Load | RenderReport retour ok

09/09/2019 12:20:14 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_5|pdf

09/09/2019 12:20:14 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_6|pdf

09/09/2019 12:20:14 | RunExportFile | \\LAP-IV-IWEBS01\Impression|FactureSimpleO_Lot19070350_7|pdf

09/09/2019 12:21:05 | Page_Load | ICI3

09/09/2019 12:21:08 | Page_Load | ICI3

09/09/2019 12:21:09 | Page_Load | ICI3

09/09/2019 12:21:09 | Page_Load | ICI3

09/09/2019 12:21:10 | Page_Load | ICI3

09/09/2019 12:21:10 | Page_Load | ICI3

09/09/2019 12:21:10 | Page_Load | ICI3

09/09/2019 12:21:10 | Page_Load | ICI3

09/09/2019 12:30:12 | PrintingFromService | 11111123012782

09/09/2019 12:30:12 | Callback | localhost1818

09/09/2019 12:30:12 | RenderReport | loadData

09/09/2019 12:30:12 | RenderReport | 11111123012782

09/09/2019 12:30:12 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:30:12 | SyncInvokeGetCsPrintFromWebPart | 11111123012782

09/09/2019 12:30:13 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:30:13 | PrintingFromService | 11111123012988

09/09/2019 12:30:13 | Callback | localhost1818

09/09/2019 12:30:13 | RenderReport | loadData

09/09/2019 12:30:13 | RenderReport | 11111123012988

09/09/2019 12:30:13 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/09/2019 12:30:13 | SyncInvokeGetCsPrintFromWebPart | 11111123012988

09/09/2019 12:30:13 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/09/2019 12:30:13 | LoadData | 11111123012782

